period,index_orig,Datetime,G_Gh,HT,MT,CT,Tamb,Power,gas_price,electricity_price,dh_price,Dampfleistung in MW
9,6048,2019-03-05 00:00:00,0,1097.9838932832,1052.0887828416,157.387179811796,-0.0862745333333333,336,20.46,100.22593810012476,80.0,0.540287974
9,6049,2019-03-05 00:15:00,0,1016.7398078208,1014.877345776,138.786989994844,0.100830733333333,336,20.46,101.5334707120471,80.0,0.547682065
9,6050,2019-03-05 00:30:00,0,1055.8100404992,1021.7346110496,114.373816299438,0.560358,240,20.46,102.83443639227318,80.0,0.611472078
9,6051,2019-03-05 00:45:00,0,962.9965788576,1022.6120423904,111.619267642498,0.848904466666667,264,20.46,104.1232638881554,80.0,0.941605136
9,6052,2019-03-05 01:00:00,0,948.6978127872,979.330256352,113.851095871131,0.8363078,288,20.46,105.39443392758207,80.0,0.880096285
9,6053,2019-03-05 01:15:00,0,990.3340749792,965.2991002368,110.282125671705,0.823289466666667,304,20.46,106.64250285469515,80.0,0.585233344
9,6054,2019-03-05 01:30:00,0,951.978892368,964.070410128,94.1110422094663,0.810271,288,20.46,107.86212594179061,80.0,0.572380981
9,6055,2019-03-05 01:45:00,0,923.0972804928,936.7920560544,82.4250317295392,0.8196856,248,20.46,109.04808027756889,80.0,0.634043483
9,6056,2019-03-05 02:00:00,0,944.5440911424,976.415901216,108.152081247171,0.8561238,256,20.46,110.19528713371902,80.0,0.580966817
9,6057,2019-03-05 02:15:00,0,913.8341087904,982.3603811616,142.186131783326,0.8926098,216,20.46,111.29883371405393,80.0,0.636132964
9,6058,2019-03-05 02:30:00,0,865.7069474592,955.2384004128,180.056898458799,0.9290958,272,20.46,112.3539941930583,80.0,0.618944022
9,6059,2019-03-05 02:45:00,0,864.4974832032,889.231845936,194.923635439078,1.0391568,336,20.46,113.35624995375372,80.0,0.538784073
9,6060,2019-03-05 03:00:00,0,885.0722184192,976.8060033312,170.159109803041,1.23885366666667,352,20.46,114.30130893821422,80.0,0.935794867
9,6061,2019-03-05 03:15:00,0,883.943424,970.4731919904,151.149931442738,1.43874213333333,328,20.46,115.18512402786611,80.0,0.899867311
9,6062,2019-03-05 03:30:00,0,889.4689286784,936.9346656768,130.800345285734,1.54281946666667,288,20.46,116.0039103748598,80.0,0.659346437
9,6063,2019-03-05 03:45:00,0,886.3436537088,921.4762238304,128.093122792244,1.474933,296,20.46,116.75416161029422,80.0,1.639755834
9,6064,2019-03-05 04:00:00,0,913.658907504,925.1842989984,149.951172828674,1.40371233333333,304,20.46,117.43266485988339,80.0,1.385745718
9,6065,2019-03-05 04:15:00,0,932.5136944704,903.6257517504,136.255222507318,1.332492,280,20.46,118.03651450276249,80.0,1.504158379
9,6066,2019-03-05 04:30:00,0,940.8342431712,964.4837440896,129.126644996802,1.51445566666667,288,20.46,118.56312461451242,80.0,1.731329888
9,6067,2019-03-05 04:45:00,0,945.0841732416,909.3929909568,122.372616636753,1.6843122,288,20.46,119.01024004111696,80.0,1.096780693
9,6068,2019-03-05 05:00:00,0,579.5340761952,864.2822219808,109.779420435429,1.73834606666667,296,20.46,119.37594605642951,80.0,0.861929308
9,6069,2019-03-05 05:15:00,0,752.6403404352,948.411079056,115.748878272374,1.57607793333333,328,20.46,119.65867656179232,80.0,0.807750557
9,6070,2019-03-05 05:30:00,0,928.8234514944,761.2413586848,120.892223652204,1.4138098,400,20.46,119.85722079269391,80.0,0.906223503
9,6071,2019-03-05 05:45:00,0,933.5909317728,634.7625663456,137.735319662094,1.37707633333333,440,20.46,119.97072850374455,80.0,1.468217471
9,6072,2019-03-05 06:00:00,0,907.86059112,793.9403262336,142.467679758867,1.59535033333333,408,20.46,119.9987136097652,80.0,1.570152436
9,6073,2019-03-05 06:15:00,0,895.9514012736,784.4756674272,134.064306052526,1.8209858,408,20.46,119.9410562673977,80.0,1.335972302
9,6074,2019-03-05 06:30:00,0,840.1509227328,595.9895896416,128.991210579872,1.67428333333333,496,20.46,119.79800338832167,80.0,1.370907766
9,6075,2019-03-05 06:45:00,0,719.394362064,665.3186106336,121.350271300475,1.8401392,496,20.46,119.57016758188053,80.0,1.518974936
9,6076,2019-03-05 07:00:00,23,817.8635950464,745.043709984,137.222557353973,2.24185106666667,552,20.46,119.25852453164443,80.0,1.130837501
9,6077,2019-03-05 07:15:00,19,861.5276274528,789.2476474176,152.188508224487,2.63262466666667,584,20.46,118.86440881714516,80.0,1.446803869
9,6078,2019-03-05 07:30:00,15,832.3424391744,741.3213794784,143.18147999843,1.73365353333333,688,20.46,118.38950819867556,80.0,1.727977827
9,6079,2019-03-05 07:45:00,10,851.0562039168,773.762444784,122.523914277554,2.04408226666667,696,20.46,117.83585638962839,80.0,1.547961361
9,6080,2019-03-05 08:00:00,18,759.9392211936,785.4052454304,114.859794088205,2.38877473333333,576,20.46,117.20582434732655,80.0,1.863453732
9,6081,2019-03-05 08:15:00,29,806.7240663552,792.0586779168,127.370840191841,2.45608626666667,576,20.46,116.50211011964045,80.0,1.600862986
9,6082,2019-03-05 08:30:00,45,766.1124719136,829.887883776,154.144798556964,1.61770126666667,624,20.46,115.72772729087357,80.0,1.332715816
9,6083,2019-03-05 08:45:00,80,746.9970307968,878.1030186432,179.21491052707,1.36150746666667,568,20.46,114.88599207639557,80.0,1.922233473
9,6084,2019-03-05 09:00:00,72,832.4380934688,848.8905258624,185.396324857076,1.51529333333333,536,20.46,113.98050912128855,80.0,1.822239073
9,6085,2019-03-05 09:15:00,44,1134.015064364672,828.383105088,195.111568125089,1.1812118,592,20.46,113.01515606382276,80.0,2.019185014
